,zpid,streetAddress,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,livingArea,lotAreaValue,lotAreaUnit,rentZestimate,taxAssessedValue,price,walkscore,bikescore,violent_crime,property_crime,cost_of_living,avg_sal,st_ratio,air_quality,n_per_household
168,26773073,910 Hoke Smith Dr,Dallas,TX,75224,32.708397,-96.83717,4.0,2.0,1792,7535.88,sqft,1882.0,166100.0,335000,45.0,61.0,65.1,71.9,89.6,"$34,592",10,31,3.3
169,26727669,2518 W Jefferson Blvd,Dallas,TX,75211,32.74759,-96.859566,3.0,2.0,1271,6708.24,sqft,2034.0,272440.0,369500,59.0,55.0,59.1,67.3,94.3,"$36,908",10,50,3.6
170,2063467758,12888 Montfort Dr APT 130,Dallas,TX,75230,32.9239,-96.81106,2.0,1.0,823,5.045,acres,,,175000,61.0,10.0,33.6,46.8,161.1,"$69,028",10,43,2.2
171,26713380,924 S Clinton Ave,Dallas,TX,75208,32.73615,-96.84269,3.0,2.0,1607,8232.84,sqft,2163.0,292380.0,399900,59.0,27.0,49.5,60.4,107.9,"$46,547",10,41,3.1
172,26702043,6905 Wabash Cir,Dallas,TX,75214,32.824696,-96.74096,5.0,3.0,3409,0.294,acres,4697.0,794670.0,1549900,43.0,46.0,35.3,49.6,142.8,"$71,740",10,50,2.2
173,69667908,7404 Linda Ln,Dallas,TX,75241,32.65708,-96.78107,3.0,2.0,1593,0.7000000000000001,acres,1846.0,176070.0,291500,31.0,62.0,70.1,76.0,92.1,"$32,258",10,25,3.0
174,96501435,2043 Life Ave,Dallas,TX,75212,32.786568,-96.8554,3.0,4.0,2545,6577.56,sqft,2227.0,98940.0,695000,59.0,27.0,70.2,75.4,87.0,"$28,577",10,52,3.6
175,2061739841,7812 Meadow Park Dr #228,Dallas,TX,75230,32.88526,-96.77218,2.0,2.0,1165,2.296,acres,,,271500,58.0,63.0,33.6,46.8,161.1,"$69,028",10,43,2.2
176,26726113,2815 Oakdale St,Dallas,TX,75215,32.753582,-96.74928,3.0,2.0,1234,5924.16,sqft,,81230.0,259900,54.0,32.0,70.4,76.2,84.2,"$23,991",10,44,2.5
177,26713914,710 S Rosemont Ave,Dallas,TX,75208,32.73916,-96.8476,3.0,1.0,1200,7753.68,sqft,1950.0,193960.0,285000,67.0,60.0,49.5,60.4,107.9,"$46,547",10,41,3.1
178,26691312,3714 Meyers St,Dallas,TX,75215,32.76584,-96.75931,3.0,1.0,1248,5488.56,sqft,1494.0,67420.0,130000,60.0,17.0,70.4,76.2,84.2,"$23,991",10,44,2.5
179,2126222831,5909 Luther Ln APT 805,Dallas,TX,75225,32.863716,-96.81117,2.0,2.0,1393,1.5150000000000001,acres,2049.0,,850000,60.0,6.0,6.7,12.9,229.3,"$156,173",10,43,2.5
180,26757100,4322 Melissa Ln,Dallas,TX,75229,32.897976,-96.835045,4.0,4.0,3509,0.371,acres,3950.0,684610.0,1599000,40.0,25.0,32.4,44.1,131.3,"$74,274",10,47,3.0
181,80237866,212 Great Plains Ave,Dallas,TX,75241,32.651688,-96.82076,3.0,2.0,1600,5009.4,sqft,1743.0,170460.0,264990,29.0,7.0,70.1,76.0,92.1,"$32,258",10,25,3.0
182,26887707,11644 McRae Rd,Dallas,TX,75228,32.852123,-96.66163,4.0,2.0,2111,6534.0,sqft,2231.0,210740.0,339900,47.0,75.0,58.0,67.2,99.8,"$36,773",10,51,3.0
183,96529356,2622 Ripple Rd,Dallas,TX,75241,32.67768,-96.777115,3.0,2.0,1476,6708.24,sqft,1979.0,169660.0,240000,11.0,54.0,70.1,76.0,92.1,"$32,258",10,25,3.0
184,26696976,5307 Denton Dr,Dallas,TX,75235,32.819607,-96.82977,2.0,1.0,1188,9191.16,sqft,,303790.0,348810,61.0,57.0,62.0,71.2,96.3,"$40,593",10,43,2.6
185,26687526,4423 Rosine Ave,Dallas,TX,75215,32.758755,-96.75357,3.0,2.0,1260,4094.64,sqft,1500.0,65310.0,199000,56.0,60.0,70.4,76.2,84.2,"$23,991",10,44,2.5
186,2116036295,8560 Park Ln APT 21,Dallas,TX,75231,32.86872,-96.75584,3.0,3.0,1656,6.129,acres,2196.0,,299500,54.0,27.0,66.4,74.8,92.5,"$32,011",10,47,2.5
187,26774815,3307 Ramona Ave,Dallas,TX,75216,32.704243,-96.80737,2.0,1.0,816,7710.12,sqft,1229.0,106650.0,139900,50.0,61.0,70.7,76.4,82.1,"$23,591",10,36,2.9
188,26700073,4839 Sapphire St,Dallas,TX,75223,32.782467,-96.74046,2.0,1.0,664,4268.88,sqft,999.0,58490.0,199900,48.0,41.0,56.6,65.2,90.9,"$36,206",10,44,3.1
189,2061747920,4934 Lahoma St,Dallas,TX,75235,32.821148,-96.82007,2.0,3.0,1255,6.27,acres,,,275000,56.0,46.0,62.0,71.2,96.3,"$40,593",10,43,2.6
190,26849140,6230 Turner Way,Dallas,TX,75230,32.917942,-96.798805,5.0,4.0,4815,0.367,acres,,688890.0,1675000,46.0,71.0,33.6,46.8,161.1,"$69,028",10,43,2.2
191,26789892,3872 Cortez Dr,Dallas,TX,75220,32.865982,-96.84994,3.0,1.0,1082,7884.36,sqft,1800.0,247950.0,430000,51.0,68.0,58.2,67.6,115.2,"$38,628",10,38,3.2
192,2078184392,4944 N Hall St,Dallas,TX,75235,32.823208,-96.821175,2.0,2.0,1072,6.27,acres,1706.0,,219900,58.0,54.0,62.0,71.2,96.3,"$40,593",10,43,2.6
193,26863720,7621 Dentcrest Dr,Dallas,TX,75254,32.950073,-96.77603,6.0,8.0,3976,0.28800000000000003,acres,6292.0,446510.0,625000,71.0,52.0,64.4,73.8,96.7,"$43,577",10,41,2.2
194,26688582,4011 Spring Ave,Dallas,TX,75210,32.770847,-96.74705,3.0,2.0,1164,4835.16,sqft,1530.0,89970.0,175000,74.0,64.0,70.5,76.3,86.0,"$17,594",10,50,2.8
195,26691370,3631 Meyers St,Dallas,TX,75215,32.766003,-96.760216,2.0,1.0,1156,5488.56,sqft,1500.0,62020.0,118000,58.0,39.0,70.4,76.2,84.2,"$23,991",10,44,2.5
196,26678461,5114 Junius St,Dallas,TX,75214,32.801712,-96.764915,5.0,4.0,3612,9670.32,sqft,4707.0,630070.0,1050000,64.0,87.0,35.3,49.6,142.8,"$71,740",10,50,2.2
197,26903678,5616 Stonegate Rd,Dallas,TX,75209,32.859524,-96.81636,4.0,5.0,4331,0.395,acres,,1640630.0,2595000,53.0,28.0,33.4,46.7,152.1,"$81,791",10,43,2.3
198,2084129790,4325 Bowser Ave APT 110,Dallas,TX,75219,32.817776,-96.81076,2.0,2.0,1062,0.367,acres,,,350000,68.0,21.0,47.7,61.0,111.5,"$60,726",10,40,1.7
199,26767294,2549 Kathleen Ave,Dallas,TX,75216,32.707916,-96.78615,2.0,1.0,816,6882.48,sqft,,79590.0,215000,43.0,49.0,70.7,76.4,82.1,"$23,591",10,36,2.9
200,96531675,1923 Ingersoll St,Dallas,TX,75212,32.767063,-96.903915,3.0,4.0,2920,7492.32,sqft,842.0,281820.0,695000,33.0,69.0,70.2,75.4,87.0,"$28,577",10,52,3.6
201,26888193,9236 Firelog Ln,Dallas,TX,75243,32.92205,-96.735756,3.0,3.0,1905,2570.04,sqft,2407.0,200030.0,399000,51.0,44.0,63.7,72.7,102.0,"$36,010",10,48,2.5
202,26737250,4640 Stanford Ave,Dallas,TX,75209,32.852966,-96.83001,4.0,6.0,4839,7710.12,sqft,,1245000.0,2099000,66.0,71.0,33.4,46.7,152.1,"$81,791",10,43,2.3
203,125234749,7533 Garonne St,Dallas,TX,75231,32.885,-96.73547,4.0,4.0,4061,7971.48,sqft,,835710.0,1649000,50.0,12.0,66.4,74.8,92.5,"$32,011",10,47,2.5
204,2061756441,5750 Phoenix Dr #49,Dallas,TX,75231,32.876545,-96.76002,1.0,1.0,817,2.007,acres,,,159000,61.0,63.0,66.4,74.8,92.5,"$32,011",10,47,2.5
205,26796658,6136 Fenway St,Dallas,TX,75217,32.728775,-96.71618,4.0,2.0,1326,8232.84,sqft,1406.0,87360.0,199900,35.0,33.0,60.6,67.8,92.1,"$35,786",10,50,3.8
206,2078890119,2732 W Jefferson Blvd,Dallas,TX,75211,32.746864,-96.86385,4.0,2.0,1856,7405.2,sqft,1749.0,,374900,53.0,46.0,59.1,67.3,94.3,"$36,908",10,50,3.6
207,26878806,3616 Pinebrook Dr,Dallas,TX,75241,32.66771,-96.76327,3.0,2.0,1008,6054.84,sqft,,116140.0,259000,43.0,63.0,70.1,76.0,92.1,"$32,258",10,25,3.0
208,26881002,4328 Harvest Hill Rd,Dallas,TX,75244,32.921993,-96.8357,3.0,2.0,2001,5379.66,sqft,2799.0,278240.0,479000,54.0,51.0,35.0,49.6,136.6,"$71,888",10,43,2.3
209,26684225,4520 Cabell Dr,Dallas,TX,75204,32.8063,-96.7832,3.0,1.0,1488,7492.32,sqft,2528.0,431520.0,750000,65.0,78.0,60.4,70.9,123.1,"$66,646",10,38,1.8
210,26792323,3111 Indianola St,Dallas,TX,75227,32.76447,-96.67636,3.0,2.0,1200,0.253,acres,1514.0,130680.0,269000,47.0,36.0,53.9,63.3,92.9,"$38,201",10,53,3.4
211,26705307,6627 E Mockingbird Ln,Dallas,TX,75214,32.838005,-96.74728,,,2126,8058.6,sqft,2444.0,385770.0,625000,41.0,42.0,35.3,49.6,142.8,"$71,740",10,50,2.2
212,245229506,7713 Verbena Ct,Dallas,TX,75230,32.899124,-96.77568,3.0,3.0,2527,0.0,sqft,4398.0,695450.0,875000,57.0,27.0,33.6,46.8,161.1,"$69,028",10,43,2.2
213,96518763,1930 Muncie Ave,Dallas,TX,75212,32.77477,-96.85135,3.0,2.0,2061,6534.0,sqft,3200.0,277650.0,549900,50.0,7.0,70.2,75.4,87.0,"$28,577",10,52,3.6
214,26840338,8811 Vinewood Dr,Dallas,TX,75228,32.81667,-96.702,3.0,2.0,1549,0.314,acres,2038.0,293190.0,519900,36.0,57.0,58.0,67.2,99.8,"$36,773",10,51,3.0
215,26857104,7808 Brownsville Ave,Dallas,TX,75216,32.716526,-96.74917,3.0,2.0,1652,7492.32,sqft,2133.0,20000.0,295000,27.0,24.0,70.7,76.4,82.1,"$23,591",10,36,2.9
216,26784562,3818 Rockbluff Dr,Dallas,TX,75227,32.770947,-96.69268,3.0,2.0,1640,10715.76,sqft,1699.0,167530.0,249000,40.0,53.0,53.9,63.3,92.9,"$38,201",10,53,3.4
